
 1  owl:Thing 
 1.43.3.1.7.1  Cat  
 1.43.3.1.7.2  Dog  
 1.43.3.1.7.3  Horse  
 1.43.3.1.7.3.1  RaceHorse  
 1.43.3.1.8  Mollusca  
 1.43.3.1.9  Reptile  
 1.43.3.2  Fungus  
 1.43.3.3  Plant  
 1.43.3.3.1  ClubMoss  
 1.43.3.3.2  Conifer  
 1.43.3.3.3  CultivatedVariety  
 1.43.3.3.4  Cycad  
 1.43.3.3.5  Fern  
 1.43.3.3.6  FloweringPlant  
 1.43.3.3.6.1  Grape  
 1.43.3.3.7  Ginkgo  
 1.43.3.3.8  Gnetophytes  
 1.43.3.3.9  GreenAlga  
 1.43.3.3.10  Moss  
 1.44  SportCompetitionResult  
 1.44.1  OlympicResult  
 1.44.2  SnookerWorldRanking  
 1.45  SportsSeason  
 1.45.1  MotorsportSeason  
 1.45.2  SportsTeamSeason  
 1.45.2.1  BaseballSeason  
 1.45.2.2  FootballLeagueSeason  
 1.45.2.2.1  NationalFootballLeagueSeason  
 1.45.2.3  NCAATeamSeason  
 1.45.2.4  SoccerClubSeason  
 1.45.2.5  SoccerLeagueSeason  
 1.46  Statistic  
 1.47  TimePeriod  
 1.47.1  CareerStation  
 1.47.2  GeologicalPeriod  
 1.47.3  HistoricalPeriod  
 1.47.4  PeriodOfArtisticStyle  
 1.47.5  PrehistoricalPeriod  
 1.47.6  ProtohistoricalPeriod  
 1.47.7  Year  
 1.47.8  YearInSpaceflight  
 1.48  TopicalConcept  
 1.48.1  AcademicSubject  
 1.48.2  CardinalDirection  
 1.48.3  Fashion  
 1.48.4  Genre  
 1.48.4.1  ArtisticGenre  
 1.48.4.2  LiteraryGenre  
 1.48.4.3  MovieGenre  
 1.48.4.4  MusicGenre  
 1.48.5  Ideology  
 1.48.6  MathematicalConcept  
 1.48.7  PhilosophicalConcept  
 1.48.8  PoliticalConcept  
 1.48.9  ScientificConcept  
 1.48.10  Standard  
 1.48.11  SystemOfLaw  
 1.48.12  Tax  
 1.48.13  Taxon  
 1.48.14  TheologicalConcept  
 1.48.14.1  ChristianDoctrine  
 1.48.15  Type  
 1.48.15.1  DocumentType  
 1.48.15.2  GovernmentType  
 1.49  UnitOfWork  
 1.49.1  Case  
 1.49.1.1  LegalCase  
 1.49.1.1.1  SupremeCourtOfTheUnitedStatesCase  
 1.49.2  Project  
 1.49.2.1  ResearchProject  
 1.50  Unknown  
 1.51  Work  
 1.51.1  Artwork  
 1.51.1.1  Painting  
 1.51.1.2  Sculpture  
 1.51.2  Cartoon  
 1.51.2.1  Anime  
 1.51.2.2  HollywoodCartoon  
 1.51.3  CollectionOfValuables  
 1.51.3.1  Archive  
 1.51.4  Database  
 1.51.4.1  BiologicalDatabase  
 1.51.5  Document  
 1.51.5.1  File  
 1.51.5.2  Image  
 1.51.5.2.1  MovingImage  
 1.51.5.2.2  StillImage  
 1.51.5.3  Sound  
 1.51.6  Film  
 1.51.7  LineOfFashion  
 1.51.8  MusicalWork  
 1.51.8.1  Album  
 1.51.8.2  ArtistDiscography  
 1.51.8.3  ClassicalMusicComposition  
 1.51.8.4  Musical  
 1.51.8.5  NationalAnthem  
 1.51.8.6  Opera  
 1.51.8.7  Single  
 1.51.8.8  Song  
 1.51.8.8.1  EurovisionSongContestEntry  
 1.51.9  RadioProgram  
 1.51.10  Software  
 1.51.10.1  VideoGame  
 1.51.11  TelevisionEpisode  
 1.51.12  TelevisionSeason  
 1.51.13  TelevisionShow  
 1.51.14  Website  
 1.51.15  WrittenWork  
 1.51.15.1  Annotation  
 1.51.15.1.1  Reference  
 1.51.15.2  Article  
 1.51.15.3  Book  
 1.51.15.3.1  Novel  
 1.51.15.3.1.1  LightNovel  
 1.51.15.4  Comic  
 1.51.15.4.1  ComicStrip  
 1.51.15.4.2  Manga  
 1.51.15.4.3  Manhua  
 1.51.15.4.4  Manhwa  
 1.51.15.5  Drama  
 1.51.15.6  Law  
 1.51.15.7  Letter  
 1.51.15.8  MultiVolumePublication  
 1.51.15.9  PeriodicalLiterature  
 1.51.15.9.1  AcademicJournal  
 1.51.15.9.2  Magazine  
 1.51.15.9.3  Newspaper  
 1.51.15.9.4  UndergroundJournal  
 1.51.15.10  Play  
 1.51.15.11  Poem  
 1.51.15.12  Quote  
 1.51.15.13  Resume  
 1.51.15.14  StatedResolution  
 1.51.15.15  Treaty  
 1.51.16  foaf:Document  
 1.52  cidoccrm:E4_Period  
 1.53  d0:Activity  
 1.54  foaf:Image  
 1.55  foaf:Person  
 1.56  geo:SpatialThing  
 1.57  gml:_Feature  
 1.58  rdf:Property  
 1.59  skos:Concept  
 1.60  skos:OrderedCollection  
